GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking-app,com.strickers.bankingapp.service,FavoritePayeeServiceImpl,81,74,4,4,21,22,4,5,2,3
banking-app,com.strickers.bankingapp.service,BankServiceImpl,0,50,0,2,0,15,0,4,0,3
banking-app,com.strickers.bankingapp.service,DeleteServiceImpl,18,38,2,2,5,12,2,3,0,3
banking-app,com.strickers.bankingapp.config,SwaggerConfig,14,0,0,0,3,0,2,0,2,0
banking-app,com.strickers.bankingapp.controller,DeleteController,0,22,0,0,0,5,0,3,0,3
banking-app,com.strickers.bankingapp.controller,BankController,0,21,0,0,0,5,0,3,0,3
banking-app,com.strickers.bankingapp.controller,FavoritePayeeController,0,56,0,4,0,14,0,6,0,4
banking-app,com.strickers.bankingapp.entity,FavoritePayee,32,27,0,0,8,2,10,7,10,7
banking-app,com.strickers.bankingapp.entity,Customer,21,31,0,0,7,2,7,8,7,8
banking-app,com.strickers.bankingapp.entity,Bank,3,21,0,0,1,4,1,6,1,6
banking-app,com.strickers.bankingapp.utils,StringConstant,0,13,0,0,0,4,0,1,0,1
banking-app,com.strickers.bankingapp.utils,Utils,23,0,0,0,5,0,4,0,4,0
banking-app,com.strickers.bankingapp,BankingAppApplication,8,0,0,0,3,0,2,0,2,0
banking-app,com.strickers.bankingapp.dto,PayeesResponseDto,6,18,0,0,2,3,2,5,2,5
banking-app,com.strickers.bankingapp.dto,PayeeRequestDto,0,31,0,0,0,6,0,9,0,9
banking-app,com.strickers.bankingapp.dto,FavoritePayeeDto,49,3,0,0,8,1,14,1,14,1
banking-app,com.strickers.bankingapp.dto,ResponseDto,24,10,0,0,2,3,3,3,3,3
banking-app,com.strickers.bankingapp.dto,PayeeResponseDto,21,3,0,0,4,1,6,1,6,1
banking-app,com.strickers.bankingapp.dto,ExceptionResponseDto,26,0,0,0,12,0,6,0,6,0
banking-app,com.strickers.bankingapp.dto,BankResponseDto,36,22,0,0,4,3,4,6,4,6
banking-app,com.strickers.bankingapp.exception,IfscCodeNotFoundException,0,4,0,0,0,2,0,1,0,1
banking-app,com.strickers.bankingapp.exception,ApiExceptionHandler,49,0,0,0,12,0,5,0,5,0
